"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Data Source","World Development Indicators","School enrollment secondary (% net)","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Last Updated Date","2020-09-08",
"Aruba","ABW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.81521","76.83175","72.41274","76.8075","72.36007","73.44491","75.12471","","80.52762","74.48249","77.72432","","76.94634","","","","","","","","",
"Afghanistan","AFG","","","","","","","","","","","","","","","8.39304","","","","","","","","","","","","","","","","","","","14.51242","","","","","","","","","","","","","","26.55995","","","","","","46.1909","46.0584","45.43273","46.6585","48.44288","50.1407","",
"Angola","AGO","","","","","","","","","","","","","4.46014","","","","","","","","","","7.16385","","","","","","","","","","","","","","","","","","","","","","","","","","9.15376","9.63002","11.29064","","","","","","","","","",
"Albania","ALB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.69051","68.41048","","","","","","","","","","","","84.39599","86.39145","87.38842","86.48091","86.6726","86.60827","",
"Andorra","AND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","","","","","","","","","","","21.11032","21.22642","21.37414","22.68826","23.16868","24.45432","25.92266","27.79315","29.60527","31.04599","32.17602","32.65989","34.1568","35.3065","36.57526","37.99771","39.77378","40.88724","41.37932","42.05497","44.54737","44.71384","43.76501","44.38228","46.19188","46.28907","46.40997","47.67226","49.06666","50.59593","51.92024","53.24759","54.05277","55.7292","57.48235","57.5619","57.46168","57.23471","58.28565","60.34947","60.67437","62.26881","62.45941","61.08331","61.53884","62.06563","62.55911","63.06303","63.51428","",
"United Arab Emirates","ARE","","","","","","","","","","","","","","","","","","","26.75091","","37.28006","","","","","","","","","","","57.81253","60.24952","64.12178","69.27369","72.8265","","70.25707","69.90386","","","","","","","","","","","","","","","","","","87.06773","92.79992","","",
"Argentina","ARG","","","","","","","","","","","","","","","40.49867","41.97323","","","","","","","","","","","","","","","","","","","","","","","74.40915","76.26566","78.48781","78.94955","78.81052","78.51365","78.53653","77.93493","77.80917","77.68491","78.65304","80.56529","82.09918","83.52317","85.89363","87.09754","87.6325","88.44048","89.88468","90.79605","","",
"Armenia","ARM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.5328","88.92706","91.63539","86.10852","92.32107","92.50998","87.74122","","","","","","","","",
"American Samoa","ASM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.69304","","","","","","","","","92.48712","","","","","83.36424","86.00054","","87.74032","88.78981","",
"Australia","AUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.30407","87.27602","87.42722","89.08954","","","","","","","","","","","","","","","","","","","93.23812","92.76952","92.28431","","",
"Austria","AUT","","","","","","","","","","","","68.60957","68.57248","","68.16386","70.17104","70.52792","","","","","","","","","","","","","","","","","","","","","","","88.47397","88.42819","","88.40836","88.4619","88.60349","89.18387","89.26828","88.21249","88.16806","87.93998","86.79411","86.61554","86.14129","86.22208","86.55112","86.71155","87.37319","87.00131","","",
"Azerbaijan","AZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.53256","",
